playername	month	year	img	char
Don%20Aase	2	2008	0	9319
Don%20Aase	2	2009	0	20220
Don%20Aase	2	2010	0	22582
Don%20Aase	2	2011	0	23754
Don%20Aase	3	2006	0	7087
Don%20Aase	3	2007	0	11173
Don%20Aase	3	2008	0	9525
Don%20Aase	3	2009	0	23286
Don%20Aase	3	2010	0	22582
Don%20Aase	3	2011	0	23886
Don%20Aase	4	2006	0	7087
Don%20Aase	4	2007	0	11134
Don%20Aase	4	2008	0	19338
Don%20Aase	4	2009	0	23286
Don%20Aase	4	2010	0	22582
Don%20Aase	4	2011	0	23886
Don%20Aase	5	2006	0	9280
Don%20Aase	5	2007	0	11196
Don%20Aase	5	2008	0	19075
Don%20Aase	5	2009	0	23291
Don%20Aase	5	2010	0	22582
Don%20Aase	5	2011	0	24038
Don%20Aase	6	2006	0	9280
Don%20Aase	6	2007	0	11264
Don%20Aase	6	2008	0	19075
Don%20Aase	6	2009	0	23765
Don%20Aase	6	2010	0	23911
Don%20Aase	6	2011	0	23924
Don%20Aase	7	2006	0	9280
Don%20Aase	7	2007	0	11264
Don%20Aase	7	2008	0	19075
Don%20Aase	7	2009	0	25404
Don%20Aase	7	2010	0	22556
Don%20Aase	7	2011	0	24105
Don%20Aase	8	2006	0	9582
Don%20Aase	8	2007	0	11176
Don%20Aase	8	2008	0	19075
Don%20Aase	8	2009	0	25364
Don%20Aase	8	2010	0	22556
Don%20Aase	8	2011	0	24105
Don%20Aase	9	2006	0	9582
Don%20Aase	9	2007	0	10429
Don%20Aase	9	2008	0	20754
Don%20Aase	9	2009	0	25364
Don%20Aase	9	2010	0	22556
Don%20Aase	9	2011	0	24105
Don%20Aase	10	2006	0	9355
Don%20Aase	10	2007	0	10312
Don%20Aase	10	2008	0	19433
Don%20Aase	10	2009	0	25333
Don%20Aase	10	2010	0	22556
Don%20Aase	10	2011	0	24105
Don%20Aase	11	2006	0	9617
Don%20Aase	11	2007	0	10310
Don%20Aase	11	2008	0	19433
Don%20Aase	11	2009	0	25387
Don%20Aase	11	2010	0	23771
Don%20Aase	11	2011	0	24105
Don%20Aase	12	2006	0	9665
Don%20Aase	12	2007	0	10517
Don%20Aase	12	2008	0	19403
Don%20Aase	12	2009	0	25257
Don%20Aase	12	2010	0	23771
Don%20Aase	12	2011	0	24105
Ace%20Adams	1	2006	5	35726
Ace%20Adams	1	2007	0	6891
Ace%20Adams	1	2008	0	7181
Ace%20Adams	1	2009	0	7248
Ace%20Adams	1	2010	0	12410
Ace%20Adams	1	2011	0	13975
Ace%20Adams	2	2006	5	35726
Ace%20Adams	2	2007	0	6891
Ace%20Adams	2	2008	0	7181
Ace%20Adams	2	2009	0	7248
Ace%20Adams	2	2010	0	12807
Ace%20Adams	2	2011	0	13975
Ace%20Adams	3	2006	5	35726
Ace%20Adams	3	2007	0	6891
Ace%20Adams	3	2008	0	7341
Ace%20Adams	3	2009	0	11535
Ace%20Adams	3	2010	0	12807
Ace%20Adams	3	2011	0	13975
Ace%20Adams	4	2006	5	35726
Ace%20Adams	4	2007	0	6891
Ace%20Adams	4	2008	0	7341
Ace%20Adams	4	2009	0	11241
Ace%20Adams	4	2010	0	12807
